CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;57;1220;146
01:00;46;30;810;91
02:00;36;15;580;59
03:00;34;24;620;70
04:00;31;35;600;85
05:00;36;88;850;171
06:00;52;198;1640;355
07:00;72;174;1900;338
08:00;78;130;1330;277
09:00;79;111;1130;248
10:00;66;61;730;157
11:00;69;69;910;174
12:00;70;60;840;162
13:00;77;65;840;177
14:00;74;62;930;168
15:00;85;75;1100;199
16:00;80;78;1030;199
17:00;78;77;1260;196
18:00;83;87;1160;215
19:00;91;103;1240;247
20:00;99;146;1470;322
21:00;87;91;1260;226
22:00;79;95;1250;225
23:00;77;109;1580;245
