CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;116;1100;237
01:00;48;73;820;158
02:00;40;40;500;101
03:00;35;29;380;79
04:00;38;33;370;88
05:00;39;42;350;104
06:00;53;78;540;172
07:00;68;155;1090;303
08:00;77;193;1270;372
09:00;79;180;1110;354
10:00;81;147;940;304
11:00;78;120;780;262
12:00;77;95;650;221
13:00;82;88;650;216
14:00;82;90;720;220
15:00;94;130;930;293
16:00;89;106;900;251
17:00;84;94;930;227
18:00;96;130;1100;294
19:00;98;157;1230;337
20:00;103;216;1690;431
21:00;100;234;1830;457
22:00;83;205;1470;396
23:00;72;177;1360;343
