CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;60;49;20;85;870;188
01:00;43;33;17;28;510;84
02:00;20;14;7;12;330;37
03:00;18;13;7;13;310;37
04:00;21;14;6;16;280;45
05:00;29;11;5;26;300;68
06:00;39;15;5;54;400;120
07:00;53;16;6;89;790;188
08:00;62;20;7;135;790;267
09:00;56;17;6;104;640;213
10:00;53;16;6;77;520;170
11:00;69;13;5;90;530;205
12:00;63;16;5;76;510;178
13:00;66;14;4;74;520;178
14:00;62;12;3;66;560;162
15:00;65;11;3;58;480;152
16:00;67;14;4;60;500;158
17:00;59;13;4;60;530;149
18:00;76;13;5;79;750;196
19:00;78;17;6;79;760;199
20:00;79;19;8;84;720;206
21:00;90;35;10;109;880;257
22:00;77;38;18;111;1060;247
23:00;65;35;17;100;840;217
