CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;60;18;6;45;125
01:00;61;24;8;52;136
02:00;31;24;19;27;71
03:00;35;18;14;26;74
04:00;42;18;12;37;97
05:00;31;20;15;26;70
06:00;35;20;14;34;87
07:00;49;20;14;75;163
08:00;47;22;15;79;167
09:00;54;23;16;88;187
10:00;48;19;13;73;159
11:00;46;12;8;47;117
12:00;52;13;8;49;126
13:00;53;14;8;50;129
14:00;64;13;8;58;152
15:00;82;13;4;80;200
16:00;75;12;4;65;169
17:00;75;14;5;65;169
18:00;90;17;5;82;210
19:00;113;22;6;115;284
20:00;135;34;8;289;571
21:00;95;31;8;144;310
22:00;75;17;6;70;176
23:00;75;19;6;94;214
