CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;39;105;1550;198
01:00;29;57;1350;116
02:00;37;69;1250;141
03:00;34;58;1250;122
04:00;32;54;1160;114
05:00;33;41;1060;96
06:00;33;60;1080;124
07:00;32;48;1060;105
08:00;41;90;1350;177
09:00;39;95;1510;184
10:00;46;118;1390;227
11:00;54;124;1310;243
12:00;57;118;1120;237
13:00;78;206;1660;392
14:00;71;199;1930;376
15:00;72;192;1530;366
16:00;72;179;1640;345
17:00;74;186;1750;359
18:00;76;188;1940;363
19:00;59;137;1540;269
20:00;60;142;1550;277
21:00;54;132;1460;257
22:00;54;160;1640;298
23:00;46;152;1720;278
