CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;86;68;100;239
01:00;71;57;78;191
02:00;57;55;38;115
03:00;53;43;43;119
04:00;42;29;39;102
05:00;46;34;62;141
06:00;53;38;139;266
07:00;64;38;237;428
08:00;65;63;192;359
09:00;81;75;168;338
10:00;90;73;162;338
11:00;80;65;107;245
12:00;80;42;90;218
13:00;97;39;106;259
14:00;85;38;87;218
15:00;93;37;96;240
16:00;101;30;126;295
17:00;114;31;146;337
18:00;116;32;144;336
19:00;125;40;193;421
20:00;120;43;202;429
21:00;118;47;180;393
22:00;99;45;141;314
23:00;108;63;215;437
