CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;99;244;401;713
01:00;60;218;222;400
02:00;49;195;195;347
03:00;43;217;176;312
04:00;48;200;98;197
05:00;62;151;167;317
06:00;81;139;362;636
07:00;104;138;466;817
08:00;119;140;625;1074
09:00;111;157;479;843
10:00;81;218;217;414
11:00;70;203;130;268
12:00;66;174;99;218
13:00;60;166;97;208
14:00;82;145;148;308
15:00;92;126;178;364
16:00;94;119;165;346
17:00;96;128;193;391
18:00;92;119;148;318
19:00;107;128;237;469
20:00;129;116;496;887
21:00;125;196;515;913
22:00;102;276;384;690
23:00;105;234;394;709
