CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;50;92;69;65;1570;150
01:00;61;129;100;108;1880;226
02:00;51;95;86;55;2130;135
03:00;46;80;74;44;1920;114
04:00;44;55;50;42;1630;108
05:00;49;47;42;71;1440;157
06:00;52;42;37;97;1220;201
07:00;57;40;34;163;2020;307
08:00;69;43;35;229;1780;419
09:00;60;47;37;171;1470;322
10:00;70;48;39;214;1530;397
11:00;58;46;36;143;1380;277
12:00;62;45;36;156;1470;300
13:00;66;47;37;165;1600;317
14:00;74;57;45;197;2040;376
15:00;75;71;52;203;2040;386
16:00;73;90;65;196;1910;372
17:00;75;101;69;185;1860;357
18:00;71;76;63;164;1840;321
19:00;71;70;60;181;1930;348
20:00;67;70;60;172;1790;331
21:00;72;82;69;189;2490;362
22:00;64;85;67;144;2000;284
23:00;53;87;68;94;1600;196
