CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;92;11;790;62
01:00;44;42;9;640;57
02:00;63;183;23;1100;97
03:00;60;155;33;1050;110
04:00;49;138;36;940;103
05:00;51;100;67;1200;152
06:00;65;106;148;1530;290
07:00;68;130;97;1730;214
08:00;83;171;68;2290;186
09:00;109;153;89;2660;244
10:00;110;144;57;2050;195
11:00;100;111;48;1790;171
12:00;87;83;39;1750;145
13:00;95;69;46;1820;164
14:00;98;54;48;2220;170
15:00;77;61;39;1780;134
16:00;77;74;37;1440;132
17:00;73;71;27;990;113
18:00;65;68;20;910;94
19:00;85;77;38;1100;141
20:00;95;58;58;1330;182
21:00;96;49;67;1690;197
22:00;73;79;74;1800;185
23:00;47;94;17;910;71
