CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;70;33;18;100;222
01:00;59;34;17;58;147
02:00;42;36;26;28;83
03:00;37;33;27;23;71
04:00;34;33;25;26;73
05:00;37;35;22;30;82
06:00;50;42;24;69;154
07:00;69;;29;169;326
08:00;72;46;29;194;366
09:00;78;34;21;155;313
10:00;74;36;22;155;309
11:00;70;31;21;133;272
12:00;69;35;24;138;280
13:00;62;49;32;101;215
14:00;74;88;33;99;224
15:00;75;58;21;89;211
16:00;77;44;19;81;201
17:00;73;43;15;75;187
18:00;80;35;14;88;214
19:00;75;33;13;82;199
20:00;94;44;17;154;327
21:00;99;48;22;185;382
22:00;91;44;21;160;334
23:00;86;37;21;132;287
