CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;2.84423;51.8067;45.8722;35.8249;74.439;747.65;1049.58;165.884
00:00;2.39408;30.5124;33.9698;28.1821;31.546;506.262;1006.84;78.8826
01:00;2.01179;27.0939;31.5373;26.3582;18.2405;487.905;933.96;55.0763
02:00;1.69512;23.6564;30.9172;23.4189;14.9377;407.44;817.315;46.5927
03:00;1.51995;20.2523;32.8366;25.5226;15.5633;406.225;724.57;44.0899
04:00;1.43034;25.741;32.2493;27.155;15.7281;380.015;618.725;49.8677
05:00;1.36553;31.8637;31.5455;26.4605;28.4669;419.642;518.892;75.5412
06:00;1.34941;44.4321;31.366;24.4223;89.2821;505.286;482.553;181.4
07:00;1.42974;60.9673;25.43;19.53;122.933;691.84;475.577;249.639
08:00;1.64645;71.8985;32.8384;25.3834;169.553;872.69;521.38;332.041
09:00;1.83074;73.6112;36.7538;27.2286;152.406;719.45;550.323;307.408
10:00;1.88276;66.9741;40.6721;31.3256;134.094;697.55;586.587;272.69
11:00;1.57175;56.8756;34.0908;27.8727;78.7744;525.473;601.493;177.682
12:00;1.32507;48.2671;38.197;20.6151;65.6123;451.916;610.481;148.796
13:00;1.2999;58.549;102.935;32.201;76.6392;487.986;619.024;176.089
14:00;1.33496;62.6353;89.1124;28.143;83.7915;498.783;618.211;191.527
15:00;1.60297;78.2842;119.576;44.8321;135.515;695.48;618.666;286.211
16:00;2.10994;78.2709;91.431;42.0885;154.972;905.09;622.716;316.061
17:00;2.47834;81.8844;78.9528;36.9417;146.165;941.73;650.501;306.076
18:00;3.34209;94.0712;140.056;63.9551;231.855;1162.04;708.562;449.697
19:00;4.3418;87.482;143.954;81.3002;235.999;1410.36;819.173;449.677
20:00;5.17319;86.2035;134.351;83.8671;222.205;1570.01;871.638;427.241
21:00;5.72957;78.1338;119.92;85.8171;174.077;1441.45;1026.21;345.049
22:00;5.90271;63.5631;141.422;88.3058;121.969;1225.21;1160.88;250.666
23:00;5.753;65.8051;131.896;81.9948;104.644;1038.03;1236.56;226.288
