CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;66;39;19;44;510;131
01:00;86;63;30;86;1090;215
02:00;53;35;18;47;490;122
03:00;59;43;22;49;550;132
04:00;60;45;25;63;490;154
05:00;56;41;25;67;520;156
06:00;56;45;27;90;570;192
07:00;65;57;32;142;790;280
08:00;66;93;48;115;970;240
09:00;90;122;56;158;1520;330
10:00;89;87;39;116;1080;265
11:00;84;58;25;74;740;196
12:00;84;40;15;68;630;187
13:00;87;38;11;67;570;188
14:00;74;26;10;51;550;149
15:00;69;24;9;47;470;139
16:00;78;23;9;51;540;154
17:00;88;23;8;65;660;187
18:00;94;28;10;74;700;205
19:00;89;37;10;63;700;184
20:00;104;43;14;89;880;239
21:00;97;45;18;80;1010;218
22:00;65;33;15;42;570;127
23:00;69;34;16;48;580;141
