CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;72;51;41;71;1030;180
01:00;59;52;43;54;860;140
02:00;39;39;37;29;680;83
03:00;33;39;35;23;640;69
04:00;30;36;33;21;590;62
05:00;28;33;30;21;560;60
06:00;31;33;30;22;560;64
07:00;38;35;30;38;650;95
08:00;55;36;30;86;880;185
09:00;56;31;27;67;790;158
10:00;52;26;23;54;750;134
11:00;63;30;25;69;860;168
12:00;75;32;25;78;930;194
13:00;66;29;23;57;780;152
14:00;74;42;26;64;820;171
15:00;81;51;26;74;890;194
16:00;86;31;23;80;1000;208
17:00;66;30;20;51;790;144
18:00;66;32;20;43;760;131
19:00;82;40;24;69;1000;187
20:00;86;37;24;77;950;203
21:00;103;39;27;110;1380;269
22:00;96;45;34;116;1280;272
23:00;87;55;40;114;1260;260
