CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;39;32;790;106
01:00;46;38;17;650;73
02:00;31;18;8;560;43
03:00;23;16;9;520;36
04:00;17;26;4;490;24
05:00;26;31;13;520;45
06:00;44;32;33;820;94
07:00;62;46;63;1210;158
08:00;77;41;106;1590;238
09:00;81;68;100;1490;233
10:00;88;91;112;1550;259
11:00;83;63;84;1200;210
12:00;66;61;51;1030;144
13:00;64;45;49;1000;138
14:00;77;51;58;1090;165
15:00;75;52;49;1080;150
16:00;79;35;52;1050;159
17:00;89;41;60;1210;179
18:00;87;45;57;1260;173
19:00;103;56;71;1320;210
20:00;107;61;62;1490;200
21:00;98;70;91;1400;237
22:00;70;75;53;1030;152
23:00;63;61;55;930;147
