CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;75;108;1550;240
01:00;33;20;470;63
02:00;30;14;460;50
03:00;24;11;360;40
04:00;33;15;380;56
05:00;39;26;310;78
06:00;51;43;390;117
07:00;76;89;720;213
08:00;77;88;720;212
09:00;77;91;720;216
10:00;66;76;560;183
11:00;70;78;590;189
12:00;56;54;470;139
13:00;65;57;550;153
14:00;78;80;;200
15:00;59;55;520;143
16:00;65;58;670;154
17:00;70;73;580;182
18:00;80;77;780;199
19:00;94;124;980;285
20:00;103;182;1570;382
21:00;105;172;1490;368
22:00;97;167;1600;352
23:00;79;123;1570;267
