CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;32;58;27;73
01:00;70;318;175;338
02:00;62;256;134;265
03:00;56;291;99;206
04:00;48;257;39;106
05:00;53;223;78;170
06:00;61;207;164;311
07:00;69;271;242;438
08:00;76;225;265;480
09:00;87;197;329;590
10:00;67;132;164;316
11:00;57;189;118;236
12:00;54;164;95;198
13:00;42;120;76;158
14:00;45;90;68;149
15:00;49;64;68;153
16:00;58;61;107;221
17:00;49;67;88;182
18:00;51;75;75;164
19:00;48;66;55;132
20:00;45;52;67;147
21:00;50;52;81;173
22:00;42;56;63;138
23:00;41;56;52;121
