CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;50;184;20;1220;81
01:00;48;178;22;1150;82
02:00;44;81;30;750;90
03:00;35;77;22;650;69
04:00;37;65;47;670;109
05:00;41;61;94;860;184
06:00;46;60;146;1280;270
07:00;63;82;301;2560;522
08:00;65;103;212;1870;390
09:00;87;128;293;2580;534
10:00;90;202;222;2390;428
11:00;108;251;211;2250;431
12:00;118;191;194;2090;414
13:00;126;219;171;2040;388
14:00;114;194;142;1650;331
15:00;117;174;159;1810;359
16:00;121;161;210;2100;442
17:00;115;180;162;2050;362
18:00;109;175;171;2470;371
19:00;101;220;164;2230;353
20:00;88;198;161;2330;334
21:00;74;200;108;1680;239
22:00;67;198;93;1600;209
23:00;58;191;64;1470;156
