CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;77;52;76;193
01:00;52;44;35;106
02:00;52;62;63;148
03:00;40;59;34;92
04:00;32;53;25;69
05:00;33;31;40;94
06:00;36;36;80;159
07:00;46;21;147;269
08:00;66;39;204;377
09:00;66;64;127;260
10:00;68;70;105;228
11:00;81;93;158;321
12:00;77;100;103;234
13:00;77;105;107;239
14:00;87;98;117;265
15:00;65;104;62;159
16:00;74;88;64;171
17:00;66;76;54;148
18:00;69;53;49;143
19:00;79;38;73;191
20:00;95;35;88;228
21:00;117;57;169;374
22:00;100;66;120;283
23:00;81;66;79;201
