CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;72;109;1300;238
01:00;61;94;1280;205
02:00;48;72;860;156
03:00;41;66;850;142
04:00;42;59;730;131
05:00;41;68;710;144
06:00;48;122;860;233
07:00;52;177;1290;322
08:00;73;274;2030;492
09:00;77;242;1610;448
10:00;83;188;1340;371
11:00;79;140;1180;291
12:00;100;139;1190;312
13:00;112;115;1140;287
14:00;108;83;920;234
15:00;119;108;920;284
16:00;131;121;1270;316
17:00;136;126;1230;327
18:00;155;189;1720;444
19:00;164;251;1920;547
20:00;147;285;2520;582
21:00;124;206;2120;439
22:00;95;165;1620;347
23:00;88;158;1570;329
