CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;87;67;50;990;134
01:00;36;91;72;15;760;60
02:00;37;122;90;99;1340;189
03:00;33;116;91;75;1280;147
04:00;27;113;89;58;1200;116
05:00;29;108;85;78;1260;149
06:00;28;98;75;75;1150;141
07:00;24;113;78;84;1280;151
08:00;29;114;77;93;1330;171
09:00;27;90;67;69;1110;132
10:00;44;65;48;63;920;140
11:00;45;53;39;43;630;111
12:00;48;43;30;36;530;103
13:00;56;45;27;37;510;112
14:00;56;52;35;40;530;117
15:00;57;55;36;45;570;126
16:00;70;56;39;56;710;155
17:00;75;65;48;74;900;187
18:00;69;77;59;74;860;181
19:00;70;83;63;87;880;202
20:00;76;82;62;88;1060;211
21:00;65;81;62;68;900;168
22:00;57;79;62;54;840;139
23:00;62;83;65;54;930;144
