CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;54;131;1600;254
01:00;50;82;1290;175
02:00;36;45;970;105
03:00;39;51;1000;116
04:00;38;61;1040;130
05:00;39;68;1050;143
06:00;47;123;1240;234
07:00;63;258;2090;457
08:00;82;314;2440;563
09:00;77;330;2430;581
10:00;75;266;2240;482
11:00;64;171;1510;326
12:00;;;1210;
13:00;68;117;1020;247
14:00;69;109;920;236
15:00;82;148;1100;308
16:00;92;147;1300;317
17:00;93;211;1860;415
18:00;79;236;1920;441
19:00;78;278;2440;503
20:00;71;222;1950;410
21:00;63;146;1370;286
22:00;55;120;1410;237
23:00;51;94;1220;194
