CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;51;41;18;740;78
01:00;57;39;17;900;83
02:00;34;30;5;450;41
03:00;25;17;6;470;34
04:00;41;17;15;450;63
05:00;45;18;73;720;157
06:00;46;15;85;820;176
07:00;48;46;35;720;101
08:00;44;36;33;610;94
09:00;54;36;35;660;107
10:00;54;32;36;770;110
11:00;54;34;32;740;103
12:00;50;16;22;740;84
13:00;57;11;31;760;104
14:00;72;15;46;1010;141
15:00;69;14;48;860;143
16:00;82;16;64;970;179
17:00;67;28;41;860;129
18:00;68;25;42;1020;132
19:00;71;22;45;1120;140
20:00;65;34;38;760;123
21:00;62;34;39;800;121
22:00;86;32;88;1440;221
23:00;60;40;30;870;105
