CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;86;81;1620;209
01:00;36;16;860;60
02:00;35;13;810;53
03:00;30;12;750;47
04:00;26;9;710;38
05:00;29;14;680;50
06:00;40;30;700;85
07:00;66;56;910;150
08:00;;;1010;
09:00;87;86;1000;219
10:00;72;59;930;161
11:00;71;64;950;168
12:00;78;75;930;192
13:00;80;67;910;183
14:00;79;64;900;176
15:00;85;78;860;205
16:00;80;67;950;181
17:00;74;54;840;156
18:00;77;65;830;176
19:00;79;63;930;176
20:00;85;71;1030;193
21:00;104;123;1740;291
22:00;108;125;1500;299
23:00;103;141;1660;318
