CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;33;34;44;100
01:00;25;39;28;69
02:00;29;47;63;127
03:00;21;49;42;86
04:00;16;39;31;63
05:00;20;25;46;92
06:00;28;26;71;136
07:00;32;42;92;173
08:00;37;50;132;239
09:00;35;48;93;177
10:00;31;44;65;130
11:00;35;33;62;129
12:00;41;35;75;157
13:00;44;42;81;168
14:00;41;42;83;169
15:00;42;55;64;141
16:00;52;38;74;165
17:00;62;41;78;181
18:00;65;37;93;206
19:00;65;37;99;216
20:00;64;47;96;211
21:00;63;48;102;218
22:00;53;57;76;169
23:00;52;38;78;172
