CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;40;56;39;18;67
01:00;33;55;38;13;52
02:00;33;52;36;12;51
03:00;31;37;24;12;49
04:00;53;46;29;28;95
05:00;73;51;26;60;166
06:00;76;54;26;87;209
07:00;81;68;39;172;345
08:00;98;89;57;203;410
09:00;82;89;63;142;299
10:00;69;85;59;104;227
11:00;77;77;52;101;231
12:00;77;76;46;98;227
13:00;74;77;44;86;205
14:00;64;64;33;59;153
15:00;51;52;21;43;117
16:00;66;51;21;68;170
17:00;55;54;18;45;124
18:00;64;45;18;56;150
19:00;53;57;19;32;102
20:00;55;65;28;33;106
21:00;64;56;29;40;126
22:00;59;60;36;32;108
23:00;48;57;36;26;87
