CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;37;150;93;101;1840;192
01:00;46;181;132;126;2490;239
02:00;38;146;108;57;1830;125
03:00;33;133;98;32;1630;83
04:00;34;133;98;63;1670;129
05:00;39;126;91;81;1660;163
06:00;42;141;101;76;1630;159
07:00;45;135;97;118;1710;223
08:00;53;98;69;132;1570;254
09:00;53;82;58;142;1420;270
10:00;47;70;49;123;1260;234
11:00;52;77;53;128;1400;248
12:00;48;89;59;117;1470;226
13:00;59;106;72;189;1940;348
14:00;55;122;83;188;2070;342
15:00;55;115;80;174;2170;320
16:00;58;108;77;228;2340;406
17:00;53;102;73;159;2090;296
18:00;48;114;81;123;1940;236
19:00;45;131;95;133;2060;249
20:00;55;124;89;169;2360;314
21:00;52;121;88;176;2170;320
22:00;49;124;91;159;2160;291
23:00;40;137;92;103;1830;198
