CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;99;120;218;431
01:00;70;112;129;267
02:00;52;81;42;115
03:00;45;76;45;113
04:00;39;72;48;112
05:00;35;71;74;147
06:00;38;59;130;236
07:00;48;71;197;348
08:00;51;97;219;385
09:00;66;107;236;427
10:00;115;133;353;654
11:00;133;155;188;420
12:00;98;128;73;207
13:00;102;90;76;217
14:00;104;75;70;209
15:00;102;64;73;212
16:00;114;52;93;254
17:00;125;49;103;281
18:00;142;53;139;354
19:00;158;47;193;452
20:00;164;61;316;646
21:00;144;102;285;578
22:00;124;122;251;506
23:00;115;128;236;474
