CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;52;146;1230;275
01:00;42;122;1090;228
02:00;21;16;260;46
03:00;25;17;210;52
04:00;27;18;210;53
05:00;36;29;260;79
06:00;51;62;390;145
07:00;72;146;970;294
08:00;78;168;1110;335
09:00;78;163;990;327
10:00;82;137;790;291
11:00;84;137;990;294
12:00;85;106;800;246
13:00;90;125;1070;281
14:00;75;87;710;208
15:00;93;129;1040;289
16:00;87;102;990;243
17:00;99;131;1060;298
18:00;108;163;1460;357
19:00;117;271;1870;531
20:00;107;312;2300;584
21:00;85;230;1940;438
22:00;73;173;1460;336
23:00;60;174;1430;325
