CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;35;26;530;73
01:00;37;25;490;74
02:00;37;23;530;71
03:00;39;23;500;75
04:00;31;20;410;62
05:00;36;30;520;82
06:00;54;61;760;147
07:00;69;124;1130;259
08:00;61;96;990;207
09:00;72;141;1240;287
10:00;62;115;1070;236
11:00;53;75;900;167
12:00;48;60;810;140
13:00;53;73;920;163
14:00;51;79;930;172
15:00;49;71;850;158
16:00;50;56;750;135
17:00;76;106;1210;237
18:00;79;126;1300;272
19:00;73;88;1060;208
20:00;58;62;990;153
21:00;47;48;660;120
22:00;40;33;550;89
23:00;39;30;560;84
