CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;42;121;3120;227
01:00;35;119;2730;216
02:00;31;102;2690;188
03:00;30;128;2810;226
04:00;35;126;2660;226
05:00;27;107;2400;191
06:00;30;127;2650;224
07:00;28;118;2530;208
08:00;42;168;2750;299
09:00;53;194;3020;349
10:00;62;166;2570;315
11:00;62;132;2340;264
12:00;58;99;1710;209
13:00;69;147;1860;295
14:00;96;272;3160;513
15:00;123;486;4940;867
16:00;100;396;4410;705
17:00;91;353;4670;631
18:00;94;345;4630;623
19:00;78;335;4800;590
20:00;72;294;4340;522
21:00;63;239;3910;428
22:00;54;226;4050;399
23:00;49;222;3910;389
