CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;40;173;92;2280;179
01:00;57;137;194;3230;353
02:00;53;146;198;3150;355
03:00;48;134;142;2500;264
04:00;47;122;118;2120;227
05:00;44;106;107;1680;206
06:00;48;93;124;1560;238
07:00;53;77;125;1330;244
08:00;59;52;156;1430;296
09:00;74;45;248;2440;452
10:00;81;84;274;2850;499
11:00;64;91;185;1970;347
12:00;54;81;109;1470;220
13:00;55;50;93;1200;195
14:00;58;44;114;1290;232
15:00;61;47;114;1290;233
16:00;58;47;104;1470;215
17:00;66;46;136;1890;273
18:00;75;63;225;2400;419
19:00;67;107;182;2430;346
20:00;60;114;169;2420;317
21:00;54;125;167;2440;309
22:00;50;152;138;2380;260
23:00;45;165;122;2450;230
