CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;59;71;790;168
01:00;48;51;690;126
02:00;55;38;580;112
03:00;49;31;630;97
04:00;51;27;440;93
05:00;69;46;500;139
06:00;73;99;670;223
07:00;89;174;1230;354
08:00;107;242;1530;476
09:00;111;277;1780;533
10:00;121;236;1540;482
11:00;108;154;1220;342
12:00;113;155;1060;349
13:00;121;160;1110;365
14:00;116;172;1170;379
15:00;125;188;1470;412
16:00;119;145;1330;340
17:00;123;145;1340;345
18:00;133;175;1820;400
19:00;121;147;1670;344
20:00;87;92;1090;226
21:00;105;137;1340;314
22:00;69;81;900;193
23:00;63;73;770;174
