CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.73134;21.7535;36.4514;30.7934;19.9181;312.135;526.442;52.2
01:00;1.73097;24.438;35.2685;29.6647;18.202;314.304;409.551;52.2
02:00;1.44229;16.6229;27.5132;23.1518;9.2517;195.31;363.555;30.8
03:00;1.17416;15.8279;23.5688;19.8132;7.63337;143.574;326.321;27.4
04:00;1.06786;24.6798;19.4226;16.0328;15.7309;152.845;295.335;48.7
05:00;1.05764;32.8149;21.6518;17.693;35.3008;151.34;273.819;86.7
06:00;1.14905;52.3769;26.944;20.962;82.0048;363.755;272.403;177.7
07:00;1.60025;76.807;25.6136;20.3248;169.426;869.11;323.333;335.6
08:00;2.25398;83.3834;31.2547;25.5405;212.981;1010.92;400.145;408.9
09:00;2.23478;80.5904;34.9745;27.3313;202.731;1034.43;490.16;390.3
10:00;2.04738;77.7507;28.1452;19.5446;159.353;698.328;553.038;321.4
11:00;1.66314;60.8493;23.3871;17.1082;96.0006;463.66;593.049;207.5
12:00;1.44806;46.8239;17.2911;13.7219;65.3272;329.4;615.118;146.6
13:00;1.4431;53.4317;47.7444;18.2946;75.5429;390.532;645.017;168.8
14:00;1.44388;56.2927;77.3598;21.8113;81.8888;411.567;650.993;181.5
15:00;1.58457;60.2627;59.5998;21.3847;89.73;492.264;603.888;197.4
16:00;2.01202;75.8563;28.6704;20.9556;139.12;788.412;576.074;288.4
17:00;2.41731;67.7638;34.6472;27.6136;116.892;669.641;530.475;246.4
18:00;2.74549;70.7523;39.8016;32.3348;135.279;789.694;541.896;277.5
19:00;2.51366;58.0898;33.152;26.1947;94.1918;598.92;558.804;202
20:00;2.45235;49.8374;39.3067;31.3951;65.3664;551.74;586.596;149.7
21:00;2.21567;39.343;42.3727;34.7019;53.0082;481.205;597.93;120.3
22:00;2.01269;32.563;37.7702;31.8397;40.867;396.909;596.098;95.1
23:00;1.92093;28.8953;39.2357;33.1771;40.5781;411.293;585.977;90.9
