CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;50;33;31;97
01:00;52;60;29;96
02:00;22;77;9;36
03:00;27;42;15;49
04:00;41;45;25;79
05:00;40;55;29;83
06:00;;57;;
07:00;69;67;200;375
08:00;59;99;90;195
09:00;59;94;99;210
10:00;69;83;117;247
11:00;65;96;99;217
12:00;68;123;101;222
13:00;61;107;63;156
14:00;57;72;52;137
15:00;55;64;48;128
16:00;62;61;55;145
17:00;82;59;87;214
18:00;82;63;83;209
19:00;90;54;105;249
20:00;72;62;61;165
21:00;58;67;45;127
22:00;64;49;62;158
23:00;52;65;40;113
