CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;64;36;980;119
01:00;47;17;670;73
02:00;34;14;460;55
03:00;36;10;460;52
04:00;52;21;550;84
05:00;46;31;520;94
06:00;54;66;640;155
07:00;63;108;1050;227
08:00;83;150;1320;312
09:00;108;183;1520;388
10:00;110;101;1110;264
11:00;124;101;1290;278
12:00;105;57;1210;192
13:00;109;58;950;198
14:00;82;36;670;137
15:00;104;55;830;189
16:00;118;68;1150;221
17:00;116;57;1000;202
18:00;135;82;1360;260
19:00;128;83;1180;254
20:00;98;53;950;178
21:00;113;110;1440;280
22:00;101;82;1380;226
23:00;89;74;1100;202
