CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;79;60;58;78;1050;198
01:00;74;48;46;57;840;161
02:00;47;47;47;23;580;81
03:00;34;42;41;14;490;53
04:00;32;46;46;13;480;50
05:00;33;48;47;14;490;52
06:00;49;51;50;21;610;81
07:00;55;56;51;24;640;91
08:00;70;46;44;41;690;132
09:00;55;41;40;32;570;103
10:00;53;42;40;32;460;101
11:00;60;52;43;44;490;125
12:00;73;62;49;62;670;167
13:00;75;71;54;71;720;183
14:00;64;62;46;63;680;159
15:00;79;59;41;85;900;208
16:00;73;49;42;64;840;170
17:00;85;39;34;84;820;214
18:00;96;44;40;87;970;227
19:00;104;53;49;118;1420;284
20:00;104;54;50;139;1300;316
21:00;103;60;56;139;1290;315
22:00;103;66;62;155;1380;340
23:00;94;64;61;125;1360;284
