CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;21;7;7;37;740;78
01:00;16;8;7;26;640;56
02:00;18;12;11;15;540;41
03:00;15;9;9;12;480;33
04:00;19;11;10;13;400;39
05:00;22;12;11;20;380;53
06:00;29;7;7;42;380;92
07:00;48;12;11;93;490;190
08:00;52;18;15;93;620;194
09:00;57;16;14;101;680;212
10:00;56;17;15;111;710;226
11:00;55;24;17;122;760;242
12:00;49;19;14;90;790;187
13:00;60;24;18;129;860;256
14:00;61;22;20;139;930;273
15:00;57;21;19;114;920;232
16:00;64;22;21;155;1040;301
17:00;49;15;14;113;1100;222
18:00;52;15;13;126;1170;245
19:00;37;17;15;81;1080;160
20:00;41;15;13;81;990;164
21:00;41;20;18;104;980;198
22:00;31;14;12;66;920;131
23:00;29;10;9;54;840;111
