CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;73;74;32;81;196
01:00;71;67;29;117;249
02:00;54;;;70;160
03:00;;;;;
04:00;47;;;52;125
05:00;43;;;66;142
06:00;56;;;131;256
07:00;72;;;218;406
08:00;67;;;151;296
09:00;73;;;128;267
10:00;79;;;124;266
11:00;75;;;81;198
12:00;66;;;58;153
13:00;77;;;74;189
14:00;72;;;73;181
15:00;80;;;80;200
16:00;79;;;66;178
17:00;85;;;63;179
18:00;61;;;39;120
19:00;99;;;88;231
20:00;83;;;73;194
21:00;106;;;131;305
22:00;96;;;102;252
23:00;77;;;72;186
