CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;50;33;780;106
01:00;49;65;34;700;98
02:00;31;28;7;550;41
03:00;27;45;9;530;40
04:00;32;30;18;560;58
05:00;41;10;41;670;101
06:00;47;28;65;920;145
07:00;55;46;50;1010;129
08:00;45;45;39;850;103
09:00;48;43;43;790;113
10:00;63;50;75;1360;176
11:00;88;29;108;2210;253
12:00;91;20;120;2070;273
13:00;72;51;76;1270;187
14:00;69;63;87;1430;200
15:00;77;44;78;1280;194
16:00;75;48;63;1200;170
17:00;95;30;92;1680;233
18:00;81;24;66;1530;181
19:00;99;44;101;1370;252
20:00;98;46;120;1510;280
21:00;83;50;88;1280;217
22:00;72;102;63;1060;167
23:00;65;70;79;1130;184
