CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;120;990
01:00;106;1270
02:00;95;1160
03:00;93;1020
04:00;88;760
05:00;74;980
06:00;46;1270
07:00;61;1610
08:00;75;1730
09:00;86;2200
10:00;107;1520
11:00;116;1230
12:00;121;1120
13:00;96;1220
14:00;76;1220
15:00;74;1520
16:00;68;1830
17:00;69;2000
18:00;93;1600
19:00;93;1500
20:00;94;1230
21:00;78;1560
22:00;84;1870
23:00;107;1220
