CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;59.057;74.8937;59.4938;56.9879;818.82;953.019;146.498
01:00;39.2542;68.6925;54.4925;29.7991;562.444;932.757;84.9675
02:00;44.7249;47.7504;38.0615;29.2647;569.67;840.468;89.6209
03:00;41.2809;51.1072;40.7392;26.0696;504.229;797.041;81.2674
04:00;36.7482;52.3326;41.7017;24.6016;471.001;758.783;74.4954
05:00;37.2961;54.8061;43.7017;40.8981;480.745;708.696;100.048
06:00;42.0589;57.8963;46.2038;83.5635;602.442;660.817;170.234
07:00;49.5632;61.6728;49.1292;130.678;1257.59;693.563;250.184
08:00;59.6957;58.2833;46.3205;126.456;981.11;703.333;253.647
09:00;70.7916;43.8621;34.5812;119.174;918.89;723.21;253.667
10:00;79.3029;34.0524;26.4728;86.3298;743.93;744.992;211.629
11:00;83.3526;36.461;27.7963;66.8891;728.53;773.03;186.037
12:00;90.0284;37.3838;27.6903;48.9641;634.745;793.498;165.312
13:00;86.3714;37.3682;27.0673;33.0767;593.666;807.613;137.125
14:00;96.3663;31.7369;21.8435;36.0324;612.28;808.843;151.644
15:00;109.919;27.149;19.5806;35.5644;590.795;725.493;164.415
16:00;112.335;34.1139;22.9225;42.1829;727.1;693.742;177.035
17:00;108.512;47.0403;37.3385;50.7041;724.54;669.448;186.356
18:00;113.193;52.0182;41.434;82.1451;949.42;695.135;239.28
19:00;117.079;51.1072;40.7232;125.966;1229.44;757.748;310.311
20:00;101.648;57.4989;45.812;122.118;1286.85;839.261;288.959
21:00;86.144;59.3874;47.3578;86.9256;932.63;881.632;219.537
22:00;79.0696;67.9912;54.2599;72.1071;846.73;910.938;189.735
23:00;72.466;72.0842;57.4663;61.3988;835.72;941.554;166.692
