CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;75;82;44;142
01:00;56;77;23;90
02:00;14;14;6;23
03:00;13;9;6;22
04:00;14;21;5;22
05:00;27;27;14;48
06:00;68;20;87;199
07:00;84;21;173;349
08:00;93;36;197;393
09:00;92;44;204;404
10:00;89;46;174;355
11:00;76;65;119;258
12:00;74;64;100;227
13:00;79;57;117;259
14:00;77;49;85;206
15:00;84;41;107;247
16:00;75;45;84;203
17:00;88;46;111;258
18:00;102;32;129;298
19:00;111;43;147;336
20:00;114;40;161;360
21:00;108;52;121;293
22:00;102;72;134;306
23:00;92;98;102;247
