CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;67;40;1460;127
01:00;65;138;2750;275
02:00;56;103;2400;212
03:00;54;102;2380;209
04:00;51;83;2180;176
05:00;47;70;1800;153
06:00;50;103;1930;206
07:00;51;138;2230;262
08:00;53;139;2230;265
09:00;64;167;2350;318
10:00;63;96;2110;209
11:00;64;95;2040;208
12:00;65;98;1790;214
13:00;64;70;1410;169
14:00;80;92;1570;220
15:00;83;93;1550;224
16:00;73;76;1290;188
17:00;96;136;1800;301
18:00;97;141;1890;312
19:00;91;102;1480;246
20:00;100;149;1920;328
21:00;79;74;1360;192
22:00;65;46;990;135
23:00;74;50;1410;150
