CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;127;850
01:00;101;680
02:00;205;1890
03:00;185;1820
04:00;174;1780
05:00;173;1490
06:00;153;1440
07:00;140;1530
08:00;146;1590
09:00;136;1430
10:00;112;1420
11:00;103;980
12:00;81;950
13:00;76;940
14:00;79;980
15:00;73;880
16:00;78;1090
17:00;80;1250
18:00;88;1180
19:00;93;1320
20:00;94;1850
21:00;94;1400
22:00;98;1120
23:00;145;1030
