CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;45;131;1570;246
01:00;45;103;1230;201
02:00;30;19;280;59
03:00;41;26;270;81
04:00;44;32;280;93
05:00;54;56;350;138
06:00;61;80;510;182
07:00;77;173;1150;341
08:00;82;201;1330;390
09:00;80;169;1160;339
10:00;69;106;680;231
11:00;59;84;560;187
12:00;59;79;510;179
13:00;63;82;540;188
14:00;64;85;550;192
15:00;66;74;540;179
16:00;68;81;710;191
17:00;74;97;880;222
18:00;77;130;1150;275
19:00;97;231;1670;449
20:00;101;317;2410;586
21:00;79;210;1860;401
22:00;68;215;2100;395
23:00;55;178;1890;326
