CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;53;227;135;2630;259
01:00;51;90;126;2210;243
02:00;47;89;47;1390;118
03:00;42;67;53;1380;123
04:00;42;71;72;1580;152
05:00;44;81;70;1420;150
06:00;51;76;173;1740;315
07:00;71;81;308;2440;542
08:00;88;85;435;3690;753
09:00;85;97;352;3050;624
10:00;73;101;239;2620;438
11:00;83;104;240;2440;449
12:00;80;111;209;2300;400
13:00;83;136;208;2290;401
14:00;90;159;204;2340;401
15:00;84;182;177;2020;354
16:00;91;148;248;2640;469
17:00;95;141;262;2930;495
18:00;102;150;300;3320;560
19:00;85;168;239;3210;449
20:00;77;184;190;3180;367
21:00;69;192;225;3940;412
22:00;68;229;255;4400;457
23:00;63;240;258;4090;458
