CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;59;57;740;147
01:00;44;34;640;96
02:00;38;28;540;81
03:00;35;27;480;77
04:00;32;27;440;74
05:00;27;35;440;80
06:00;36;86;660;167
07:00;50;146;970;272
08:00;70;140;1100;285
09:00;74;131;1120;273
10:00;82;128;970;278
11:00;84;85;800;213
12:00;83;66;830;183
13:00;78;59;660;168
14:00;73;45;610;141
15:00;78;61;720;171
16:00;86;59;930;176
17:00;96;65;1030;194
18:00;98;78;980;217
19:00;104;114;1150;278
20:00;106;145;1240;328
21:00;105;132;1130;307
22:00;94;104;1180;253
23:00;76;85;1010;206
