CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;46;23;26;85
01:00;43;46;21;75
02:00;49;61;21;80
03:00;43;60;30;89
04:00;35;50;13;54
05:00;37;60;25;75
06:00;45;50;64;142
07:00;50;77;89;185
08:00;56;71;122;241
09:00;66;89;129;263
10:00;64;83;107;227
11:00;58;96;59;148
12:00;54;72;45;123
13:00;59;57;47;130
14:00;53;44;32;101
15:00;55;48;37;111
16:00;51;48;29;95
17:00;56;41;32;105
18:00;59;41;33;109
19:00;75;54;47;147
20:00;79;50;54;161
21:00;79;53;68;182
22:00;55;53;47;126
23:00;63;28;59;154
