CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;57;39;22;530;92
01:00;42;37;17;490;68
02:00;35;19;16;340;60
03:00;28;19;13;250;48
04:00;27;26;14;260;48
05:00;25;22;14;220;46
06:00;33;25;21;250;68
07:00;48;31;40;370;110
08:00;52;33;52;420;132
09:00;50;31;52;470;130
10:00;50;33;44;510;118
11:00;50;29;48;460;124
12:00;45;35;40;390;107
13:00;48;33;42;570;113
14:00;51;35;50;500;129
15:00;57;43;58;620;147
16:00;53;40;39;550;113
17:00;56;34;47;660;127
18:00;52;36;43;480;117
19:00;55;41;39;460;115
20:00;49;33;26;350;90
21:00;58;29;37;460;115
22:00;95;43;90;900;233
23:00;80;46;58;890;169
