CZAS;Pył zawieszony PM10;Tlenek węgla
00:00;182;1260
01:00;32;530
02:00;41;570
03:00;30;630
04:00;32;550
05:00;23;580
06:00;18;600
07:00;33;590
08:00;24;560
09:00;23;710
10:00;44;860
11:00;61;920
12:00;54;870
13:00;28;1060
14:00;17;1250
15:00;44;1540
16:00;63;1940
17:00;72;2210
18:00;74;2610
19:00;109;3040
20:00;146;2410
21:00;188;1870
22:00;191;1820
23:00;204;1690
