CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;25;21;27;760;72
01:00;10;12;10;7;530;21
02:00;11;12;10;5;530;18
03:00;12;14;11;5;540;20
04:00;14;12;10;5;530;22
05:00;11;6;4;7;440;22
06:00;22;6;4;24;490;58
07:00;37;7;6;42;650;101
08:00;45;9;7;61;750;138
09:00;47;10;9;62;680;142
10:00;45;13;10;50;720;121
11:00;33;13;9;37;640;90
12:00;43;12;10;46;780;113
13:00;45;11;10;52;710;124
14:00;48;12;11;51;690;125
15:00;51;23;17;67;790;153
16:00;77;29;23;134;1420;282
17:00;70;34;27;127;1180;264
18:00;64;31;25;85;1130;194
19:00;50;22;18;50;800;128
20:00;52;22;18;61;840;144
21:00;47;23;18;52;900;127
22:00;62;35;29;69;1110;166
23:00;38;25;20;38;780;95
