CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;49;35;900;103
01:00;36;15;570;59
02:00;37;22;620;71
03:00;39;31;590;86
04:00;36;39;600;96
05:00;44;123;1140;231
06:00;52;153;1510;286
07:00;71;146;2270;293
08:00;84;141;2430;300
09:00;92;128;2070;287
10:00;94;97;1690;242
11:00;77;78;1220;196
12:00;76;69;1070;180
13:00;79;70;890;187
14:00;85;74;980;197
15:00;90;81;1130;213
16:00;77;71;1260;185
17:00;86;96;1180;232
18:00;88;106;1270;250
19:00;70;73;1220;182
20:00;84;85;1430;214
21:00;63;43;1000;129
22:00;65;48;960;138
23:00;54;37;850;111
