CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;43;28;710;86
01:00;55;48;1430;127
02:00;50;33;1180;99
03:00;39;19;1040;67
04:00;50;43;1000;116
05:00;61;81;1170;185
06:00;68;137;1200;278
07:00;81;173;1410;345
08:00;104;272;1660;521
09:00;113;243;1600;484
10:00;83;121;930;268
11:00;67;80;590;189
12:00;61;63;590;157
13:00;68;62;680;163
14:00;49;50;650;125
15:00;50;55;600;133
16:00;58;55;720;142
17:00;67;73;800;178
18:00;65;74;920;179
19:00;59;68;910;161
20:00;58;58;820;145
21:00;52;45;750;121
22:00;51;42;790;115
23:00;50;39;770;109
