CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;65;157;152;319;3260;554
01:00;37;228;132;66;1820;137
02:00;30;153;122;41;1680;93
03:00;32;113;111;34;1550;84
04:00;30;117;114;51;1720;108
05:00;34;110;108;83;1810;160
06:00;37;95;94;98;1820;185
07:00;44;90;90;149;1920;270
08:00;49;91;91;202;2070;358
09:00;57;101;100;224;2230;400
10:00;64;98;97;219;2370;399
11:00;79;102;100;248;2380;459
12:00;84;95;87;249;2160;465
13:00;91;119;92;227;2190;439
14:00;131;126;88;421;2580;775
15:00;;;;;;
16:00;104;77;48;293;1850;553
17:00;117;91;71;413;2720;750
18:00;141;114;90;603;4320;1063
19:00;121;116;99;543;3930;953
20:00;112;131;117;536;4010;932
21:00;95;152;139;449;3740;782
22:00;85;158;146;367;3240;647
23:00;77;169;161;361;3650;630
