CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;71;211;127;264
01:00;63;322;319;550
02:00;52;291;274;471
03:00;43;298;220;379
04:00;38;288;164;287
05:00;42;245;137;251
06:00;55;203;194;350
07:00;62;170;276;485
08:00;92;151;521;887
09:00;109;144;537;931
10:00;127;194;571;1000
11:00;133;213;522;931
12:00;127;216;413;758
13:00;129;201;402;743
14:00;73;222;95;217
15:00;76;227;92;216
16:00;79;199;123;267
17:00;75;186;86;205
18:00;76;163;86;206
19:00;77;156;94;220
20:00;105;174;281;535
21:00;94;234;203;403
22:00;87;246;198;388
23:00;69;223;107;232
