CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;62;270;213;246;3290;437
01:00;70;238;193;103;2450;227
02:00;58;224;180;49;2020;133
03:00;55;202;162;42;1880;119
04:00;50;192;153;35;1810;103
05:00;47;150;113;56;1640;132
06:00;53;109;71;187;1420;339
07:00;67;91;60;268;1810;476
08:00;53;83;61;203;1780;363
09:00;59;93;70;224;1910;402
10:00;68;112;85;256;1980;460
11:00;71;127;96;294;1950;520
12:00;69;134;102;225;1840;413
13:00;66;154;118;154;1780;301
14:00;74;156;120;162;1900;322
15:00;68;145;114;148;1880;293
16:00;82;158;123;219;2400;416
17:00;80;204;155;232;2540;433
18:00;89;236;180;288;2910;528
19:00;86;252;195;291;3040;530
20:00;75;261;202;215;2650;404
21:00;71;245;192;204;2680;383
22:00;66;242;190;204;2910;378
23:00;69;249;197;264;3100;473
