CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;147;139;39;1240;106
01:00;55;185;165;25;1300;93
02:00;50;202;169;18;1320;78
03:00;54;172;168;18;1350;81
04:00;61;184;180;27;1470;103
05:00;65;216;209;52;1840;145
06:00;73;235;225;118;2150;253
07:00;83;244;232;179;2490;356
08:00;94;245;218;198;2430;396
09:00;90;251;211;211;2360;413
10:00;91;182;158;187;2100;378
11:00;98;215;163;167;2100;354
12:00;90;242;170;123;1810;278
13:00;91;187;125;119;1460;273
14:00;97;150;104;116;1450;275
15:00;102;157;107;136;1470;311
16:00;107;143;104;137;1560;317
17:00;110;159;117;167;1770;366
18:00;103;179;139;169;1970;361
19:00;94;198;153;147;2100;320
20:00;83;185;140;129;1850;280
21:00;75;152;128;104;1590;233
22:00;63;146;133;71;1610;171
23:00;58;134;125;61;1270;151
