CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;32;87;82;46;102
01:00;34;263;246;151;264
02:00;29;266;248;124;220
03:00;26;236;222;96;172
04:00;21;234;216;70;129
05:00;24;177;165;77;141
06:00;30;166;150;135;236
07:00;28;153;138;149;255
08:00;49;126;106;287;488
09:00;52;106;90;229;401
10:00;46;71;62;112;217
11:00;64;67;49;191;356
12:00;62;53;39;159;305
13:00;54;57;47;98;205
14:00;52;48;38;91;191
15:00;46;45;36;70;154
16:00;48;36;31;65;147
17:00;65;64;49;165;316
18:00;81;84;65;262;481
19:00;79;103;87;295;530
20:00;68;143;123;276;490
21:00;73;146;125;331;579
22:00;54;131;117;183;333
23:00;38;95;89;89;174
