CZAS;Dwutlenek azotu;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;61;170;1710;319
01:00;55;160;1540;299
02:00;48;50;570;124
03:00;40;33;360;91
04:00;42;39;400;101
05:00;35;32;340;84
06:00;52;115;850;226
07:00;59;147;1060;283
08:00;56;164;920;307
09:00;79;279;1420;505
10:00;71;253;1350;456
11:00;72;162;980;320
12:00;72;153;900;305
13:00;81;211;1170;403
14:00;74;165;930;326
15:00;95;185;1170;378
16:00;106;216;1400;437
17:00;108;181;1320;384
18:00;121;222;1630;460
19:00;132;304;2190;596
20:00;134;343;2560;659
21:00;98;232;1950;452
22:00;95;275;2230;516
23:00;77;234;2030;434
