CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.72338;62.2958;31.5305;22.5188;44.7427;546.966;584.043;130.6
01:00;2.23379;59.4736;44.7044;27.9588;31.7431;584.643;590.159;107.9
02:00;3.12427;33.4685;52.9274;42.3795;37.1793;592.46;897.795;90.3
03:00;3.34029;31.4402;58.0118;46.3649;29.8224;583.673;840.704;76.9
04:00;2.33562;28.5499;57.3173;48.1251;31.1255;713.764;815.941;76
05:00;2.24182;27.0376;47.8822;41.2253;24.5701;565.107;765.305;64.6
06:00;2.67787;29.4926;49.0042;42.5799;31.6374;577.119;717.958;77.8
07:00;4.00994;36.2492;45.8068;40.0226;42.7607;634.836;692.228;101.6
08:00;5.10371;34.121;50.8675;43.836;64.2818;787.592;660.258;132.3
09:00;3.19737;33.9271;46.937;39.2327;82.8382;689.478;643.004;160.4
10:00;4.45798;29.779;35.5847;30.1715;51.7269;559.7;638.909;108.8
11:00;4.35723;37.1978;45.9981;36.9558;71.4278;919.033;680.829;146.3
12:00;3.39518;46.3456;45.0158;34.9936;86.9471;869.153;700.252;179.1
13:00;1.64796;50.7923;37.024;26.1295;66.9805;674.521;713.929;153.2
14:00;0.985684;60.7229;21.1143;13.6939;56.8261;593.234;715.943;147.5
15:00;0.812761;74.0246;14.8402;8.79438;59.3825;542.31;704.378;164.8
16:00;0.948924;73.9922;15.5573;8.99262;52.4751;530.742;672.271;154.2
17:00;1.00671;80.4741;17.6274;10.0586;57.1895;535.717;653.051;167.9
18:00;0.956644;77.3612;18.8742;11.0664;54.1406;579.552;655.533;160.1
19:00;1.09711;75.2053;22.5524;13.4739;44.9138;607.022;616.531;143.8
20:00;1.72025;70.2772;24.477;16.25;41.8646;580.174;580.409;134.3
21:00;1.21991;79.6031;29.7191;20.0535;61.6964;703.111;583.983;173.9
22:00;1.07017;65.9586;28.6786;20.0715;36.6518;567.868;580.812;122.1
23:00;1.0905;63.1667;28.6977;20.7885;39.2244;551.934;582.015;123.1
