CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;73;212;202;86;2110;203
01:00;55;117;107;36;1420;109
02:00;45;113;103;19;1010;74
03:00;46;115;105;17;1100;72
04:00;51;131;113;26;1300;91
05:00;49;119;107;22;1190;82
06:00;55;109;99;66;1310;155
07:00;62;91;82;115;1440;238
08:00;67;81;75;153;1540;300
09:00;78;98;85;214;1790;404
10:00;76;113;89;194;1890;373
11:00;77;105;90;175;1660;345
12:00;80;109;90;193;1660;374
13:00;82;126;99;195;1970;380
14:00;86;167;118;204;1960;397
15:00;86;155;114;166;1650;339
16:00;87;144;112;155;1840;323
17:00;79;121;99;100;1580;230
18:00;88;133;116;156;1890;326
19:00;92;163;144;187;2210;377
20:00;81;163;147;155;2100;317
21:00;82;189;176;139;2170;294
22:00;79;198;188;105;2150;238
23:00;79;187;179;103;2070;235
