CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;41;36;23;290;76
01:00;38;20;19;230;68
02:00;38;40;19;290;68
03:00;29;44;10;260;45
04:00;33;41;19;250;63
05:00;40;48;28;270;83
06:00;58;65;86;450;189
07:00;65;62;95;650;212
08:00;94;49;138;970;305
09:00;79;66;108;840;244
10:00;75;67;97;650;224
11:00;69;59;79;570;189
12:00;57;58;52;310;137
13:00;55;50;44;250;122
14:00;59;50;53;350;140
15:00;61;48;51;390;140
16:00;68;52;63;720;165
17:00;65;56;62;550;160
18:00;61;53;58;440;150
19:00;61;51;62;490;156
20:00;54;60;49;380;130
21:00;61;37;52;430;140
22:00;59;40;46;430;130
23:00;61;43;46;520;131
