CZAS;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;66;80;57;77;1020;184
01:00;48;123;97;103;1880;205
02:00;42;127;101;98;1920;191
03:00;36;142;113;82;1840;162
04:00;34;122;97;80;1620;156
05:00;36;107;85;94;1570;179
06:00;46;134;105;159;1740;289
07:00;70;132;99;316;2110;553
08:00;81;132;94;324;2340;575
09:00;71;88;61;147;1260;297
10:00;65;82;55;111;1180;234
11:00;70;69;43;109;950;237
12:00;75;57;34;106;820;237
13:00;75;45;26;106;800;237
14:00;73;43;21;87;740;206
15:00;83;38;21;111;780;251
16:00;82;34;20;97;810;229
17:00;85;31;18;96;840;232
18:00;99;34;20;135;1020;305
19:00;107;46;28;202;1400;415
20:00;102;54;37;170;1270;361
21:00;85;52;37;134;1090;289
22:00;81;58;40;135;1170;287
23:00;72;59;41;99;1020;223
