CZAS;Dwutlenek azotu;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;21;27;18;48
01:00;37;77;47;110
02:00;32;77;39;92
03:00;26;71;25;65
04:00;21;58;16;46
05:00;14;44;13;34
06:00;18;27;17;45
07:00;21;28;25;58
08:00;35;40;56;120
09:00;31;36;51;109
10:00;37;41;65;136
11:00;39;43;61;132
12:00;37;43;55;121
13:00;33;40;51;111
14:00;40;42;67;142
15:00;42;39;84;170
16:00;54;42;117;231
17:00;39;51;65;138
18:00;47;43;102;202
19:00;56;59;138;267
20:00;46;81;122;232
21:00;40;64;78;160
22:00;38;43;68;143
23:00;27;36;30;73
